customer_id,has_pv_prob,pv_capacity_mean,pv_capacity_ci_lower,pv_capacity_ci_upper,pv_capacity_kwp,pv_capacity_kwp_ci_lower,pv_capacity_kwp_ci_upper,pv_capacity_kwp_regression_only,pv_capacity_kwp_floor,floor_to_reg_ratio,demand_rad_correction,sc_share_mean,sc_share_ci_lower,sc_share_ci_upper
c897bd1abf31b56abc1ac6175d53da43d61b287d,1.0,0.0041577264170646,0.0039272426885483,0.0043891981412937,16.630905668258404,15.708970754193308,17.556792565174856,16.630905668258404,13.061020267730754,0.7853463021354814,-0.000320302939474,0.0674071013927459,0.048344578500837,0.0951536951586604
c898a9a767b5fc1388bb64153639fbb16a9d794e,1.0,0.0015309476719847,0.0013655076869618,0.0016505185605778,6.123790687939061,5.46203074784739,6.602074242311288,6.123790687939061,4.7343761819791705,0.773112018884582,-0.0003173630655984,0.0792924985289573,0.0502085536718368,0.1163550421595573
c8a5f1a7fafb2eef79a5141fe1f003fbaa0437a9,1.0,0.0006304675831077,0.0005825774038935,0.0006796915042927,2.5218703324310696,2.3303096155742224,2.718766017171016,2.5218703324310696,1.422477485714833,0.5640565525601676,-0.000141266728716,0.2307316362857818,0.127448695898056,0.3125144839286804
c8b2425b4b60d76c80893318800721b2089595d6,1.0,0.0025134864110095,0.0023544743760792,0.0026508504675298,10.05394564403824,9.417897504317066,10.603401870119434,10.05394564403824,8.546025489273122,0.8500170770607577,-0.0002418318419507,0.044353187084198,0.0238290681038051,0.0680529100820422
c8b50b43d77374aded00e7eff28f9a66ea9863d5,0.4839060448451696,0.0002680815637181,0.0001785028279949,0.0003441291781927,1.0723262548726764,0.7140113119797049,1.3765167127708318,1.0723262548726764,0.0074392736166113,0.0069375095338822,-0.0001079901684675,0.959133505821228,0.9116662472486496,0.9730307444930076
c8b6b9c59dbaf89035936c08ebe7bf0c54fd112b,1.0,0.0012161870546539,0.0011321995952081,0.0012823508647412,4.864748218615654,4.528798380832743,5.129403458965195,4.864748218615654,4.254442842421575,0.8745453312755924,-2.587237857223501e-05,0.0997551083564758,0.070787438377738,0.1354581952095031
c8b86c0afd3e286daa5cadb5a8826678fa8f41f0,1.0,0.0008675593315704,0.0008246179339234,0.0009089748492555,3.4702373262819917,3.298471735693868,3.63589939702221,3.4702373262819917,2.42729781727203,0.6994616186301684,-9.957875223028222e-05,0.114525519311428,0.0856790702790021,0.1458941280841827
c8ba16aed08226ef8b70e6329ec7e0da5d705403,1.0,0.0004723998700308,0.0003938327269926,0.0005453861807337,1.8895994801235367,1.5753309079707007,2.1815447229350347,1.8895994801235367,1.8934134610611044,1.0020184070633416,-3.957804364421234e-06,0.1577371656894683,0.1117803869768977,0.189067405089736
c8c4f934aa5261900acbcd520df460a38f305b80,1.0,0.0015960284399566,0.0014962127361314,0.0017080018830218,6.384113759826646,5.984850944525928,6.832007532087226,6.384113759826646,3.655538488421523,0.5725992089026912,-0.0003594728172499,0.2921616435050964,0.1979625903069973,0.3417553626000881
c8ccecc6dbf1e6f2910618d6f24e52edc31ba0ed,1.0,0.0008877283063061,0.0007677518611798,0.0010082822247857,3.550913225224557,3.0710074447193656,4.0331288991429135,3.550913225224557,2.71263846528275,0.7639269937696674,-4.4957657996211205e-05,0.2068978250026703,0.1384492024779319,0.2721759714186191
c8d2b5487fb90e1dc224b45644c65ffdb64c9495,1.0,0.0016389623766187,0.0013771496401239,0.001864319661137,6.555849506474875,5.5085985604956855,7.457278644548054,6.555849506474875,4.620815219769606,0.7048385133316232,-0.0002343122672306,0.1091344431042671,0.003341958252713,0.1887814179062843
c8d36645938290c191ccf0e1af7d521872c6fcce,1.0,0.0018703191975424,0.0016186045681636,0.0021596464433092,7.481276790169904,6.474418272654797,8.63858577323695,7.481276790169904,5.302602144082105,0.7087830450344399,-0.0002537485940704,0.1811759620904922,0.0468357678502798,0.2852616362273693
c8d6edcfbf16c924d7a26e79bc6135cfbae6af40,1.0,0.0006100337956182,0.0005053147454519,0.0007077022834542,2.4401351824728836,2.0212589818077418,2.830809133817133,2.4401351824728836,2.7811379154952385,1.1397474760708854,-6.737933677109713e-05,0.0943136662244796,0.0278210787568241,0.1395950257778167
c8d7ce9c8f5897b623548fc25b86b186a3acc56e,1.0,0.0012277174613495,0.0011084544778008,0.0013581626728787,4.91086984539809,4.433817911203342,5.43265069151496,4.91086984539809,3.149981902799573,0.6414305412209974,-0.0001976938195004,0.1558241546154022,0.0660499677062034,0.2278371699154377
c8dd250f88d2101486aa52c500522b517e32e4b0,1.0,0.0014008014894383,0.0012711338145076,0.0015864409765261,5.6032059577534845,5.08453525803076,6.345763906104466,5.6032059577534845,3.278217620936644,0.5850610606951512,-9.400660745453636e-05,0.2137009799480438,0.1288543779402971,0.2967309333384036
c8e91392486d44e4719bbb778241edae5eac7b2b,1.0,0.0018556576779836,0.0017754774246302,0.0020035703659607,7.422630711934626,7.101909698520874,8.014281463842815,7.422630711934626,4.429948621078531,0.5968165186981146,-0.000322098307687,0.2962685227394104,0.2267176937311887,0.342010660469532
c8f366c2a9d73a9543bebbca3db80ebd7de35a6f,1.0,0.0010823836364174,0.0010227142417767,0.0011685906084154,4.329534545669781,4.090856967106902,4.674362433661775,4.329534545669781,2.144869272104003,0.495404124734196,-3.1198857339772535e-05,0.2101476043462753,0.1544385779649019,0.2637747563421726
c8f47715f75b81c6e1f6738279e0d759800fd69c,1.0,0.0018665667069634,0.001715676629025,0.002011860457988,7.466266827853903,6.862706516100294,8.047441831952014,7.466266827853903,5.480057194993529,0.7339755357455812,-0.0006123349588097,0.1395995616912841,0.1048457706347107,0.1711084827780723
c90bfb99e8a3a2b22dbb161d387bf6a7541a5123,1.0,0.0048287776342607,0.0045901989109224,0.0050397912998315,19.315110537042997,18.36079564368975,20.15916519932628,19.315110537042997,11.975672016777878,0.6200157122482234,-0.0010216495682877,0.1010364666581153,0.0647760342806577,0.1428779512643814
c90cf0ea9d1508a21a6330cffdb289f09fee72ee,1.0,0.0016183954463305,0.001497355661231,0.0017331582883585,6.473581785322069,5.989422644924005,6.932633153434039,6.473581785322069,7.560280121932586,1.1678666266446889,4.883665833803308e-06,0.0760976895689964,0.0636217441409826,0.0885119220241904
c90e5ed0276a1a44d47c65dd10fc294b23fdb554,1.0,0.0005851787014315,0.0005545379859908,0.0006536963764896,2.340714805726177,2.2181519439634276,2.614785505958637,2.340714805726177,1.2711969696065657,0.5430806719796831,-0.0001336639460544,0.1788496077060699,0.0277773012872785,0.2628386177122593
c9152819ccfa8492a4744dc75ffa8c1948c8c077,1.0,0.0020758677684001,0.0019207786240149,0.0022307149967068,8.303471073600738,7.683114496059951,8.922859986827351,8.303471073600738,9.918722303412824,1.194527230298599,6.337129025223689e-07,0.0731935426592826,0.0597524446435272,0.0844174928963184
c91d7bc784af3c3b40c3b537823a130d7c470277,1.0,0.0021078191806282,0.0020182340884237,0.0021903112819046,8.43127672251305,8.072936353695145,8.761245127618443,8.43127672251305,6.4741811065282775,0.7678767189838557,-2.458799802500793e-06,0.0990587994456291,0.0583537867292761,0.136935967952013
c922429063520d6c53985c80f6803af5dd74d5bf,1.0,0.0022858373879568,0.0021061540689489,0.0025076792963435,9.143349551827512,8.424616275795657,10.03071718537413,9.143349551827512,8.081010958862445,0.8838129739059648,-0.0003138034177701,0.1095819026231765,0.0715305648744106,0.1302000641822815
